slot,total_cus,max_dist_cus,longest_path_cus,track0_cus,track1_cus,track2_cus,track3_cus,empty_cus
350479512,44842444,11122761,6972270,10906594,10844119,10845782,11122761,2171400,1048212
350479513,44978579,18215704,16340073,18104497,18109409,18215704,18107780,403200,27962011
350479514,43189481,13728801,12060045,13669741,13578012,13728801,13566691,2251200,13604964
350479515,43058174,19487405,17276413,19427318,19487405,19006121,19098649,3026100,36987419
350479518,40006362,12570264,9773486,11663907,12176958,12513449,12570264,2165100,11083316
350479520,45014969,11343796,6682127,11056959,11343796,11173385,11176437,2049600,1785208
350479521,45668320,12764504,7539251,12709342,12764504,12720411,12706639,2286900,7519476
350479522,43121898,16285543,14259447,16090778,16285543,16043474,16170952,2158800,23627649
350479523,43107932,16400785,14934223,15998657,16336473,15920948,16400785,2137800,23686731
350479524,43991876,14699945,12979247,14543963,14699945,14531648,14328443,2202900,16315023
350479525,43590540,19512633,18370246,19512633,19349127,19345827,19399631,2169300,36185978
350479526,43462494,21577499,20619534,21577499,21480538,21486614,21539794,2163000,44784951
350479528,44084412,18372729,17202643,18218398,18097238,18127883,18372729,2165100,30896936
350479529,46327334,12130140,6431556,11948033,12130140,11835021,11800465,1843800,3230125
350479530,44046788,13815273,10719172,13815273,13640020,13701015,13712912,2492700,13315132
350479531,40502881,16433708,13143744,16049567,16433708,16329158,16134297,2154600,26598449
350479533,41861173,21575845,20906002,21575845,21210075,21453253,21451168,2167200,45996368
350479534,40965908,22396490,21180270,22396490,21974439,21958554,22026185,2158800,49548560
350479536,45952483,12954674,8133030,12452961,12499136,12954674,12783496,2186100,6923884
350479537,45857918,14374502,11921648,14327541,14180562,14374502,14219108,2135700,13379495
350479538,46021932,14137387,12165907,14084176,14098704,13982658,14137387,2194500,12475493
350479539,46008418,14780646,12011077,14568425,14780646,14547309,14513577,2074800,14476339
350479540,42854277,20555824,20037167,20185607,20466844,20127624,20555824,2263800,40745422
350479541,44166127,17264314,16241037,17264314,17096977,16983624,16976523,2171400,26326711
350479542,45909369,13813912,11146303,13731884,13798245,12186339,13813912,2089500,9710511
350479543,45992739,12575268,9106399,12092382,12575268,12400530,12374304,2253300,5703045
350479548,40438619,12316956,10112522,12316956,11969435,11958294,12314320,2207100,10327486
350479549,41184507,15507413,14810638,15413963,15383508,15386211,15507413,2167200,22673788
350479552,45819088,17155039,12079523,17155039,16769554,16859058,16746810,2167200,23878573
350479553,46040883,16697291,11324396,16697291,16555260,16580085,16605489,2163000,22560242
350479554,43357299,19122908,18383860,19122908,18045807,18992337,19021308,2169300,33994361
350479555,43292051,20623799,19540852,20161987,20217483,20623799,20241533,2160900,40113651
350479556,46242847,13381447,10732215,13222821,13381447,13199871,13289531,2169300,9020123
350479557,45574706,11658032,6394658,11573040,11590785,11658032,11576220,2167200,2990571
350479558,45409388,11493321,9432020,11491377,11475566,11493321,11469512,2066400,2586788
350479559,45545358,11702680,7304339,11702680,11660020,11663259,11644348,1900500,3025449
350479561,45021726,16035911,13298885,16035911,15913818,15953797,15973955,2156700,21012455
350479562,44201691,19228323,16841230,19132384,19122476,19150761,19228323,2177700,34609953
350479563,43329997,25075008,24525983,25000753,25032310,25010435,25075008,2156700,58945209
350479564,44852265,12118043,7860530,12072896,12051229,12050895,12118043,2177700,5618498
350479565,40823980,16604301,14868559,16045142,16604301,16496787,16496637,2165100,26983987
350479568,44126728,14343302,12670404,13950784,14343302,13959909,13955142,2074800,14157209
350479569,45548652,15919175,12321794,15919175,14303702,15889965,15908000,2261700,18733890
350479570,43575113,23710203,22815474,23576895,23710203,23582873,23615019,2167200,53077077
350479571,43981919,16594011,15088119,16374032,16353367,16208649,16594011,2163000,23711140
350479572,43723961,13926311,10491143,13926311,13855539,13885477,13817102,2167200,13927668
350479573,45094945,12906959,9729637,12745623,12776540,12762829,12906959,2169300,8266306
350479574,43421930,16274263,14494082,16254975,16264949,16245297,16274263,2169300,23786854
350479576,43507786,17606480,14735802,17606480,17552129,17157458,17475534,2171400,28455215
350479588,44948010,12054961,7066146,12054961,11157927,11954687,11459457,2181900,3860922
350479589,44500642,15697004,11778721,9921471,15613368,14646645,15697004,2163000,13540846
350479591,43156764,16697190,13951732,15541321,16697190,16363184,14350524,2169300,21964755
350479597,45738147,14006533,8952936,13617919,14006533,13595598,13701005,2167200,11350108
350479598,44779807,15444037,13471711,15282859,15252256,15001993,15444037,2160900,18362238
350479600,44694724,14681669,12944857,14646350,14657344,14640235,14681669,2171400,16102274
350479609,41292444,11647321,6123920,10105347,11647321,10137374,9942562,2163000,2703160
350479610,42721682,11441659,10619383,11182549,11212262,11441659,11321851,2087400,4524039
350479611,43332979,11595896,10848906,10699624,11595896,10661526,10739120,2091600,2454787
350479613,46628245,19268217,14323429,18936712,18985593,18938262,19268217,2156700,31657239
350479614,45795868,22578650,20015369,22428908,22578650,22443121,22540811,2165100,46360722
350479615,44965033,24721192,23703706,24326635,24495666,24721192,24380222,2152500,55111182
350479617,46000601,14540114,10136917,14131055,14115813,14540114,14125514,2167200,13079095
350479618,45556061,22325005,21132958,22325005,22092168,22116068,22152654,2179800,45309634
350479619,44927959,21414801,20134075,21169792,21367047,21414801,21239124,2165100,42427905
350479620,45831197,12474481,7389003,12474481,11750834,12353146,12204169,2175600,5127033
350479621,45868660,13671976,12500091,13000470,13671976,12975986,12929243,2173500,8882515
350479622,44524788,20030413,18992707,20030413,19954827,19970095,20025918,2167200,37623665
350479623,43223830,18454015,17954057,18216576,18454015,18215471,18300399,2160900,32123531
350479624,46149879,11245686,5197655,11144990,11176321,11230921,11245686,1675800,323839
350479625,45639565,11356985,6792140,11159617,11203895,11356985,11135172,2433900,1650004
350479626,44078588,10932084,7313876,10877124,10842797,10808076,10932084,2358300,1739793
350479627,44710796,11804518,8290187,11729635,11793945,11804518,11731918,2022300,4371520
350479628,44423222,14570785,10532785,14570785,14405165,14412565,14385494,2345700,15696487
350479629,44388561,15834335,12792639,15630321,15738790,15783227,15834335,2167200,20765312
350479630,43964570,18645153,14959594,18242904,18230312,18245890,18645153,2160900,31560589
350479633,44174040,17055748,15148255,17055748,16545820,16633214,16543482,2169300,24773524
350479636,45768633,11148510,5125361,11102853,11148510,11056143,11038140,2192400,769413
350479637,44281306,13405347,11130825,13405347,12968101,12815727,12871082,2167200,9946151
350479638,43888959,16820448,13558145,16741914,16805132,16820448,16800223,2167200,25445958
350479639,41450803,12988528,9943077,12988528,12760340,12877179,12877511,2163000,12215755
350479641,46070187,12309118,7538918,12016437,12151874,12207178,12309118,2167200,4781620
350479642,43936905,17109520,15029622,16851017,16829081,17109520,16961541,2167200,25981454
350479648,45284110,12454624,7738688,12226999,12216817,12454624,12348010,2171400,6133740
350479649,45932664,16618755,13414680,16451524,16615401,16618755,16087468,705600,20546084
350479650,40157406,16194464,14215243,16069802,16176460,16036934,16194464,3578400,27898654
350479652,44447161,13516939,9765835,13516939,13296701,13329055,13344950,2362500,11402984
350479656,45702564,14226478,12506980,14226478,14201162,14209168,14214874,2347800,13496918
350479657,45971238,12700840,10782621,12671137,12700840,12671849,12623387,2167200,6863175
350479659,45655529,15519540,12854542,15416529,15347523,15418559,15519540,2165100,18211722
350479660,46308489,11187433,4427720,11113833,11112866,11102267,11187433,2169300,377210
350479661,45494144,11251411,7972107,11212773,11251411,11213199,11236000,1407000,826239
350479662,44363234,10933528,6913191,10933528,10774286,10775300,10826576,1310400,256856
350479663,44348036,12896476,7920845,12607248,12896476,12614578,12687557,2652300,9110123
350479664,45143169,12079252,9774138,11664840,12079252,11962407,11705031,3168900,5437261
350479665,43968186,20819093,18500094,20627312,20819093,20531257,20755567,1549800,40314843
350479666,42943545,23708302,21909629,23573568,23653874,23708302,23592133,2742600,54326932
350479667,42966921,17064615,15040848,16872203,17064615,16969167,16899294,1948800,26787158
350479668,45008759,13241344,11881307,13023241,13089207,13241344,13034174,2356200,9735407
350479669,44812003,15931248,13435057,15376406,15931248,15398999,15379572,2165100,19439322
350479670,45476058,13370592,10063898,13370592,13310888,13304186,13364015,2167200,10040823
350479680,45236051,14030460,10295733,13942788,14030460,13828689,13254721,2175600,11996207
350479684,41796935,14803295,12366347,13973364,14025630,14803295,13620745,2303700,16929799
350479688,44728937,14943270,11500916,14773691,14852666,14943270,14608132,2175600,16624422
350479694,41897594,22392179,22168859,22069812,22046599,22392179,22122364,2165100,48898460
350479696,42641487,24726203,23429830,24359210,24726203,24370440,24377293,2169300,57360959
350479697,44377530,24644904,22775657,24562059,24644904,24065106,24552506,2160900,55607945
350479698,43864077,23479169,21799274,23355332,23479169,23392832,23459685,2158800,51981741
350479700,44272543,15010909,13930216,15010909,13748002,14773204,14933528,2177700,16370800
350479701,41662164,21815650,21031894,21651108,21798598,21815650,21494356,2163000,47260548
350479708,42548006,12566636,9812952,12566636,12325685,12230604,12467137,2198700,9240756
350479716,45578873,14502648,11112327,14311270,14485607,14444472,14502648,2181900,14347024
350479717,45746617,16149547,14884294,16149547,15998453,15916042,15972988,2169300,20459713
350479718,45935226,14044773,13293827,14044773,13595974,13924407,13588664,2167200,11385792
350479719,45742915,14939154,13838339,14823498,14809657,14824491,14939154,2167200,15821085
350479720,46249792,11202345,8295066,11016165,11202345,11105622,11082077,2171400,327817
350479721,46933219,12249740,4422414,11520563,11740855,12249740,11447031,827400,852370
350479722,44730004,11217337,7833294,11029897,11128650,11217337,11050263,2305800,2001943
350479723,44330040,10626663,7341443,10498397,10476190,10626663,10543155,2990400,804765
350479724,41460892,14283476,12819338,13039473,12852882,13829987,14283476,2541000,15085926
350479725,42701401,22531867,20876672,22330132,22213584,22531867,22215638,2163000,48752820
350479726,42361095,19443177,18235074,19443177,19411765,19383941,19398788,2150400,37426976
350479727,44233488,17620731,16072575,17591070,17578426,17583937,17620731,2148300,28288976
350479728,44687177,12637889,7684067,12637889,12504195,12601034,12613142,2205000,7874083
350479729,44159734,10905649,7503416,10808785,10897344,10905649,10866460,2110500,1429004
350479730,44476100,13085673,9604200,12767710,12759582,13085673,12868820,2221800,9227485
350479731,43985853,18267036,16147953,18152918,18093908,18087574,18267036,2167200,30782783
350479736,43181226,13313926,11202006,13313926,11797529,12913304,12930367,2173500,9947400
350479748,46185895,11357319,5132403,11334981,11357319,11228325,11333729,1795500,863959
350479749,46900271,11573697,4532491,11573697,11419848,11224958,11490327,2137800,946359
350479750,45294693,12246138,8745106,12010957,12024269,12010508,12246138,2873329,5870508
350479751,45605042,15061916,11017954,15028336,15061916,15053931,15019012,2163000,16721153
350479752,43430775,12308805,9926157,12137297,12136219,12308805,12157185,2921913,8230644
350479753,41819040,18726422,17236228,18696668,18669321,18726422,18664575,2165100,35103046
350479756,44806738,16198000,15334574,16007743,16151745,16025952,16198000,2190703,21767405
350479757,45309573,13624292,9511857,13519120,12885237,13313723,13624292,4217646,12250445
350479758,44939155,14559946,12125304,14480240,14559946,14458161,14459533,2283892,15302617
350479759,45944089,13076852,11503524,13076852,12965706,12953092,12774030,2016000,7841591
350479760,45167018,13690868,10378813,13690868,13652535,13528655,13531894,2209200,11446134
350479761,45161788,15063038,11531778,14905542,15063038,15039748,14674073,2123100,16643713
350479762,45472460,16369651,13903278,15441967,16302973,16369651,15492013,2247000,20381144
350479763,43411721,15894450,12527032,15737038,15780720,15894450,15740541,2238600,21979628
350479764,45074570,16362460,14799891,16362460,16266207,15161171,16064492,2165100,20944860
350479765,45080903,17994589,15894289,17994589,17974569,17952164,17992591,2692267,29525277
350479766,45117025,16542646,14845373,16478941,16542646,16473437,16491514,2238600,23108113
350479767,44320251,19961547,18328062,19830223,19398815,19769855,19961547,2158800,36798989
350479768,44549477,17372723,14601410,17372723,17066386,17130713,17269984,5883003,30173332
350479769,44456842,18850806,17503779,18736040,18835478,18784689,18850806,5143535,35893706
350479770,44241360,19174271,17495223,19017023,19174271,18989591,19122758,2165100,34227383
350479772,45269991,18475740,16134462,18283450,18304960,18179134,18475740,2173500,30146793
350479773,42966538,14051195,12275727,14051195,12874280,12881051,12922305,2163000,11925293
350479776,45126693,16371858,13113487,16000307,16371858,16170751,16151077,2922489,22489789
350479777,44408645,15237751,12938855,15068354,15237751,15179351,15145006,2167200,18389017
350479778,43422700,17590111,16693306,17458455,17590111,17470206,17560999,3630472,30287543
350479779,44028093,19966228,19034414,19716729,19652117,19704558,19966228,2804373,37815912
350479784,45603896,11973394,6100830,11973394,11898203,11899323,11959837,2095800,4222661
350479785,45443246,13100367,8700791,13014388,12450469,13100367,13082707,2244900,8449585
350479786,44703105,14663232,11962200,14663232,14512547,14609229,14226062,2167200,15475165
350479787,41922992,15486944,14072313,15420670,15095809,15486944,15201860,2163000,21445291
350479788,45703996,12226040,9977501,12226040,12003496,12086470,10318917,2171400,3102327
350479789,45542672,17325261,15958304,17178620,17325261,17186653,17134091,2165100,25447053
350479790,44816567,20006508,19070921,19755481,19743464,20006508,19957598,2165100,36811584
350479791,45138891,20764906,19265548,20633259,20636789,20764906,20653815,2169300,39719178
350479792,44780270,18133003,17698299,18059485,18047986,18012719,18133003,2146200,29619123
350479793,45231625,15768827,14871669,15768827,15207132,15449361,15704978,2066400,18965073
350479794,45490311,15719097,12895650,15640585,15182669,14554525,15719097,2284800,17891365
350479795,45226520,13779204,11096505,13779204,13048305,12991795,13020932,2142000,9755716
350479796,44926702,17331117,15102841,17329990,17160801,17163917,17331117,2190300,26249423
350479797,44150048,23046633,20663778,22884446,22852157,22849433,23046633,2165100,49647721
350479798,44826217,20618967,18956838,20618967,20488194,20529753,20283079,2167200,39260976
350479800,45155021,14506099,10899664,14435539,14506099,14435940,14420615,2181900,14825072
350479801,45615637,17262219,13628849,17262219,16782153,16774364,16838545,1125600,23167244
350479802,44322623,16838130,14443362,16838130,16509077,15610784,16406697,3164700,24206765
350479803,44391513,14473858,11900439,14224937,14473858,14238686,14402907,2011800,14960675
350479804,42962818,16304835,12945619,16140477,16103304,16190707,16304835,2356200,24132705
350479808,45284225,13495871,10476727,13445728,13495871,13433166,13482005,2175600,10748145
350479811,40095823,12659751,8849678,12659751,12544447,12531814,12480722,2072700,12193611
350479816,45083654,14344254,11987034,14304014,14344254,14325513,14280061,2139900,14310088
350479817,45150336,17076667,12778031,17076667,16775146,17022551,16783336,2194500,24701864
350479818,44903575,15308177,13242354,15155880,15234349,15308177,15178783,2167200,18140814
350479819,45651089,18967230,16648850,18947731,18920239,18967230,18938383,2167200,32289694
350479825,46166345,14424464,9246103,14410864,14424464,14402691,14412906,401100,11885680
350479826,45689701,17375379,14978383,17334235,17277334,17375379,17299310,1940400,25536957
350479827,45375041,13589253,9873873,13589253,13302294,13402185,12877476,2482200,10278367
350479828,43448234,16617569,14044723,16617569,16480915,16484087,16484832,3511200,26130369
350479832,45415547,13517845,10036918,13357368,13166310,13517845,13465885,2169300,10261161
350479833,45767898,14135025,11021949,14135025,13905153,13787110,13955177,2131500,12146067
350479834,42187255,14130133,11590791,13749107,13762357,14130133,13848259,2156700,15459301
350479836,45972445,12223379,7782440,12223379,12216972,12222594,12217992,2163000,5071492
350479837,45386942,14560568,9885956,14540526,14499408,14560568,14484039,2400300,15097899
350479838,41000798,18282530,16180696,18079515,18025287,18282530,18060675,2160900,33608109
350479844,46291454,13881141,7790876,13881141,12838838,13558146,13542504,2167200,9696375
350479845,45528779,18163009,14164648,18163009,18137801,17791500,17919305,2167200,28650036
350479846,45149298,18644848,16475181,18099281,18282180,18216037,18644848,2165100,30258148
350479847,44969340,21273564,20305494,21151876,21273564,21188515,21188516,2163000,41996131
350479848,46187599,11276886,5780878,10992276,11197723,11276886,11183051,2158800,621137
350479849,46587507,13533380,8952802,13238442,13403357,13533380,13327978,2144100,9059750
350479850,47342086,14726898,10089733,14528258,14726898,14637096,14517688,367500,11435354
350479851,45770644,11581836,10838577,11514681,11581836,11450125,11565646,2242800,2584444
350479852,45220378,10884123,7034469,10884123,10878597,10871186,10866245,3696000,1975773
